excel_row_number,orgname,filiing_period,filling_fee,late_returns,penalty_paid,outstanding_penalty,financial_year_ending_month,form_14,audit_report,requests_waiver_etc,date_received,received_by,filed_for_action_by_registry,date_filed_by_registry_for_action,designate_by_pco,date_assigned,review_acknowledgement,date_acknoledged_notice_sent,end_of_notice_period,notice_countdown
2,SAFE WATER & SUSTAINABLE HYGIENE INITIATIVE,2020-2023,8000,4,50000,50000,December,4,,,2024-08-27 11:05:37.097000,Rukia Noor,,,,,,,,
3,ENTREPRENEURSHIP TRAINING PROGRAM,2012-2023,24000,12,,275000,December,12,,waiver letter,2024-08-27 11:32:37.581000,Rukia Noor,,,Stephen Monyoncho,2024-08-29 09:09:47.312000,"To  pay  275,000/-",2024-09-06 10:54:57.551000,2024-09-27 00:00:00,0
4,JOSIAH MWANGI KARIUKI PEACE FOUNDATION,"2011,2014-2016,2018-2023",20000,10,125000,0,December,10,,,2024-08-27 12:50:56.244000,Rukia Noor,,,,,,,,
5,THE LUTHERAN WORLD FEDERATION,,,,,,,,1,,2024-08-27 15:28:24.632000,Rukia Noor,,,,,,,,
6,WOMEN EMPOWERMENT SUPPORT,2023,2000,,,,May,1,,,2024-08-27 15:37:50.433000,Rukia Noor,,,,,,,,
7,AFRICA PARKINSONS DISEASE FOUNDATION,2023,2000,,,,May,1,,,2024-08-27 15:39:00.762000,Rukia Noor,,,,,,,,
8,INTEGRATED DEVELOPMENT AFRICA PROGRAMME,2023,2000,1,,25000,December,1,,,2024-08-27 15:39:58.052000,Rukia Noor,,,,,,,,
9,WILLIAM HOLDEN WILDLIFE FOUNDATON,2023,2000,,,,June,1,1,,2024-08-27 15:40:55.320000,Rukia Noor,,,,,,,,
10,WOMEN AND YOUTH FOR SOCIAL JUSTICE,2023,2000,,,,May,1,1,,2024-08-27 15:41:45.135000,Rukia Noor,,,,,,,,
11,PROACTIVE INITIATIVE FOR FAMILY WELFARE,2023,2000,,,,May,1,,,2024-08-27 15:42:50.169000,Rukia Noor,,,,,,,,
12,BLESSED YARDS ON GLOBAL RESOURCES AND COMMUNITY EMPOWERMENT,2023,2000,,,,May,1,,,2024-08-27 15:43:58.960000,Rukia Noor,,,,,,,,
13,HIGHWAY WELFARE EMPOWERMENT PROGRAMME,2023,2000,,,,May,1,,,2024-08-27 15:44:44.281000,Rukia Noor,,,,,,,,
14,KENYA TRAFFIC RESCUE MISSION,2023,2000,1,,25000,December,1,,,2024-08-27 15:45:55.386000,Rukia Noor,,,,,,,,
15,SUSTAINABLE AGRICULTURE AND NATURAL RESOURCES MANAGEMENT AFRICA,2023,2000,1,25000,,December,1,1,,2024-08-27 15:47:21.467000,Rukia Noor,,,,,,,,
16,CHERANGANY MULTIPURPOSE DEVELOPMENT PROGRAMME,2023,2000,1,,25000,January,1,,,2024-08-27 15:50:00.769000,Rukia Noor,,,,,,,,
17,RURAL AIDS PREVENTION AND DEVELOPMENT ORGANIZATION,,,,,,,,2022-2023,,2024-08-27 15:52:44.544000,Rukia Noor,,,,,,,,
18,FEARLESS AND CHERISHED FOUNDATION,2023,2000,,,,June,1,,,2024-08-27 15:53:39.945000,Rukia Noor,,,,,,,,
19,MANDELA COMMUNITY DEVELOPMENT PROGRAMME,2023,2000,,,,June,1,,,2024-08-27 15:54:55.805000,Rukia Noor,,,,,,,,
